user_id,age,gender,country,device_type,app_version,sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,subscription_type,ads_clicked_last_30_days,content_downloads,social_shares,rating_given,churn_risk_score,engagement_score,account_age_days,marketing_source,cluster,user_segment,recommended_action
100000,56,Female,India,iOS,2.1,5,3.41,52.71,13,5,8,8,1,0,20,Basic,9,5,2,,0.31,55.79,1152,Referral,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100001,46,Male,UK,iOS,1.0,8,24.44,42.03,7,7,3,7,0,0,7,Free,8,3,3,3.0,0.87,82.39,1059,Email Campaign,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100002,32,Female,UK,iOS,1.2,12,5.34,76.69,7,5,2,21,1,0,33,Free,11,6,1,2.0,0.63,42.49,678,Google Ads,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100003,25,Male,India,Android,2.0,5,3.98,65.38,16,8,4,13,0,0,17,Basic,6,3,1,3.0,0.43,62.81,92,Organic,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100004,38,Male,Australia,Android,1.0,10,12.85,57.06,13,7,3,15,0,0,21,Basic,4,4,2,5.0,0.43,38.21,772,Email Campaign,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100005,56,Male,India,Android,1.0,12,10.51,25.39,14,7,6,14,0,0,4,Free,7,3,1,5.0,0.65,91.45,50,Email Campaign,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100006,36,Female,India,Android,1.2,8,19.93,14.86,15,2,5,3,0,0,43,Free,9,2,1,4.0,0.78,63.3,1161,Google Ads,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100007,40,Female,UK,Android,2.1,6,6.81,36.47,14,9,2,3,0,0,16,Premium,5,6,4,1.0,0.51,84.81,104,Organic,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100008,28,Female,Germany,Android,1.0,7,26.47,64.74,14,3,3,19,0,2,43,Free,6,3,5,4.0,0.08,72.85,989,Google Ads,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100009,28,Male,Singapore,Android,1.2,8,29.84,47.77,10,6,4,19,0,0,25,Free,3,4,2,3.0,0.19,55.92,373,Facebook Ads,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100010,41,Female,Australia,iOS,1.0,9,6.45,51.42,8,5,6,22,2,0,35,Basic,3,6,3,4.0,0.38,56.02,1155,Organic,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
